Date,Close,High,Low,Open,Volume
,ASSET_C,ASSET_C,ASSET_C,ASSET_C,ASSET_C
2024-06-03,118.637889,120.360000,118.281975,120.000000,15198954
2024-06-04,116.184627,118.993803,115.836073,118.637889,12034020
2024-06-05,121.111807,121.475142,115.836073,116.184627,9570525
2024-06-06,120.763079,121.475142,120.400790,121.111807,46535332
2024-06-07,117.401681,121.125369,117.049476,120.763079,13899423
2024-06-10,118.245425,118.600161,117.049476,117.401681,49520834
2024-06-11,118.347657,118.702700,117.890688,118.245425,4922515
2024-06-12,116.604455,118.702700,116.254641,118.347657,18945258
2024-06-13,114.518728,116.954268,114.175172,116.604455,43945913
2024-06-14,116.376456,116.725585,114.175172,114.518728,45606755
2024-06-17,118.515877,118.871425,116.027326,116.376456,9486611
2024-06-18,119.189295,119.546863,118.160330,118.515877,48645118
2024-06-19,117.693229,119.546863,117.340150,119.189295,19975642
2024-06-20,118.608745,118.964571,117.340150,117.693229,1948551
2024-06-21,116.446280,118.964571,116.096941,118.608745,13975629
2024-06-24,115.558433,116.795618,115.211758,116.446280,17085707
2024-06-25,115.003749,115.905109,114.658738,115.558433,27259274
2024-06-26,113.953779,115.348760,113.611918,115.003749,43898699
2024-06-27,116.187053,116.535615,113.611918,113.953779,30474774
2024-06-28,116.150288,116.535615,115.801838,116.187053,22623642
2024-07-01,117.588553,117.941319,115.801838,116.150288,37508387
2024-07-02,116.489561,117.941319,116.140093,117.588553,41843563
2024-07-03,117.147985,117.499429,116.140093,116.489561,24641503
2024-07-04,122.445629,122.812966,116.796541,117.147985,20266253
2024-07-05,123.389507,123.759676,122.078293,122.445629,9279549
2024-07-08,120.135517,123.759676,119.775110,123.389507,4834814
2024-07-09,120.641393,121.003317,119.775110,120.135517,49852931
2024-07-10,122.445201,122.812537,120.279468,120.641393,46891532
2024-07-11,122.967845,123.336749,122.077866,122.445201,9810020
2024-07-12,124.084742,124.456996,122.598941,122.967845,16656562
2024-07-15,125.618852,125.995709,123.712488,124.084742,35580099
2024-07-16,128.260866,128.645649,125.241995,125.618852,41660051
2024-07-17,128.905515,129.292232,127.876084,128.260866,7101526
2024-07-18,128.045960,129.292232,127.661822,128.905515,39215647
2024-07-19,133.248282,133.648026,127.661822,128.045960,11858875
2024-07-22,130.740287,133.648026,130.348066,133.248282,47509602
2024-07-23,130.117870,131.132508,129.727516,130.740287,36972243
2024-07-24,127.270384,130.508224,126.888573,130.117870,34861630
2024-07-25,124.893020,127.652195,124.518340,127.270384,45884572
2024-07-26,127.046792,127.427932,124.518340,124.893020,32852981
2024-07-29,123.263018,127.427932,122.893229,127.046792,47006013
2024-07-30,123.529114,123.899702,122.893229,123.263018,9314106
2024-07-31,124.080399,124.452640,123.158527,123.529114,16937523
2024-08-01,124.109432,124.481760,123.708158,124.080399,43777787
2024-08-02,121.427631,124.481760,121.063349,124.109432,28259182
2024-08-05,121.966801,122.332701,121.063349,121.427631,19780082
2024-08-06,120.901809,122.332701,120.539103,121.966801,43238959
2024-08-07,119.912882,121.264514,119.553143,120.901809,31821766
2024-08-08,114.323015,120.272621,113.980045,119.912882,40991937
2024-08-09,117.152062,117.503518,113.980045,114.323015,11181615
2024-08-12,119.056812,119.413982,116.800606,117.152062,31233017
2024-08-13,119.890011,120.249681,118.699641,119.056812,35970981
2024-08-14,116.978352,120.249681,116.627417,119.890011,33397783
2024-08-15,117.587054,117.939815,116.627417,116.978352,5928617
2024-08-16,118.020831,118.374893,117.234293,117.587054,33029797
2024-08-19,118.364011,118.719103,117.666768,118.020831,48624180
2024-08-20,118.104021,118.719103,117.749709,118.364011,5801695
2024-08-21,118.708160,119.064285,117.749709,118.104021,40082674
2024-08-22,116.110744,119.064285,115.762412,118.708160,35672494
2024-08-23,116.404727,116.753941,115.762412,116.110744,6039659
2024-08-26,117.354903,117.706968,116.055513,116.404727,35980285
2024-08-27,117.899153,118.252850,117.002838,117.354903,10633386
2024-08-28,116.525998,118.252850,116.176420,117.899153,2354742
2024-08-29,120.455490,120.816856,116.176420,116.525998,24130089
2024-08-30,124.961288,125.336172,120.094123,120.455490,44117213
2024-09-02,126.014138,126.392180,124.586404,124.961288,8018824
2024-09-03,123.836271,126.392180,123.464762,126.014138,5480799
2024-09-04,120.594082,124.207780,120.232299,123.836271,3940967
2024-09-05,120.876885,121.239515,120.232299,120.594082,31318812
2024-09-06,119.454090,121.239515,119.095728,120.876885,31145991
2024-09-09,118.702136,119.812452,118.346029,119.454090,13212957
2024-09-10,117.486777,119.058242,117.134316,118.702136,18802388
2024-09-11,117.808987,118.162414,117.134316,117.486777,4651373
2024-09-12,117.725843,118.162414,117.372666,117.808987,40089123
2024-09-13,114.946261,118.079021,114.601422,117.725843,5991681
2024-09-16,114.943055,115.291100,114.598226,114.946261,17020280
2024-09-17,113.652610,115.287884,113.311652,114.943055,19602075
