Date,Close,High,Low,Open,Volume
,ASSET_D,ASSET_D,ASSET_D,ASSET_D,ASSET_D
2024-06-03,81.597728,81.842522,79.760000,80.000000,42565218
2024-06-04,79.362650,81.842522,79.124562,81.597728,17979298
2024-06-05,80.172828,80.413346,79.124562,79.362650,38892204
2024-06-06,81.681850,81.926895,79.932309,80.172828,23552140
2024-06-07,83.793795,84.045176,81.436804,81.681850,6862242
2024-06-10,84.904161,85.158873,83.542413,83.793795,49238506
2024-06-11,87.473512,87.735933,84.649448,84.904161,12332242
2024-06-12,89.895792,90.165479,87.211092,87.473512,8030081
2024-06-13,92.274371,92.551195,89.626104,89.895792,30897157
2024-06-14,90.665867,92.551195,90.393870,92.274371,48952830
2024-06-17,88.832244,90.937865,88.565748,90.665867,30774049
2024-06-18,91.168794,91.442300,88.565748,88.832244,6439221
2024-06-19,87.427786,91.442300,87.165502,91.168794,26324567
2024-06-20,88.456447,88.721817,87.165502,87.427786,37128450
2024-06-21,89.174238,89.441761,88.191078,88.456447,8825069
2024-06-24,88.505913,89.441761,88.240396,89.174238,9185992
2024-06-25,86.546683,88.771431,86.287043,88.505913,18353891
2024-06-26,84.872291,86.806323,84.617674,86.546683,30803403
2024-06-27,85.538062,85.794676,84.617674,84.872291,32921330
2024-06-28,85.723971,85.981143,85.281448,85.538062,26402468
2024-07-01,87.621558,87.884422,85.466799,85.723971,10472902
2024-07-02,85.219567,87.884422,84.963909,87.621558,46034538
2024-07-03,84.689906,85.475226,84.435837,85.219567,2811578
2024-07-04,83.543488,84.943976,83.292857,84.689906,39206197
2024-07-05,82.903974,83.794118,82.655262,83.543488,4260355
2024-07-08,82.601924,83.152686,82.354119,82.903974,23365668
2024-07-09,86.030339,86.288431,82.354119,82.601924,6707641
2024-07-10,84.734698,86.288431,84.480493,86.030339,3488404
2024-07-11,84.928622,85.183407,84.480493,84.734698,21742416
2024-07-12,86.036699,86.294809,84.673836,84.928622,32975366
2024-07-15,88.519932,88.785492,85.778589,86.036699,34510492
2024-07-16,89.381274,89.649418,88.254372,88.519932,49100413
2024-07-17,89.777042,90.046373,89.113130,89.381274,39426841
2024-07-18,90.560053,90.831733,89.507711,89.777042,49925621
2024-07-19,88.805092,90.831733,88.538676,90.560053,44719259
2024-07-22,90.223948,90.494620,88.538676,88.805092,35325666
2024-07-23,89.639812,90.494620,89.370892,90.223948,46873056
2024-07-24,88.932853,89.908731,88.666054,89.639812,37806034
2024-07-25,88.475662,89.199652,88.210235,88.932853,8412016
2024-07-26,90.802085,91.074492,88.210235,88.475662,20786447
2024-07-29,89.609389,91.074492,89.340561,90.802085,10347078
2024-07-30,88.132532,89.878218,87.868135,89.609389,34039677
2024-07-31,89.074081,89.341303,87.868135,88.132532,43818512
2024-08-01,84.639214,89.341303,84.385297,89.074081,49222035
2024-08-02,86.766858,87.027159,84.385297,84.639214,44387469
2024-08-05,86.205517,87.027159,85.946900,86.766858,14345900
2024-08-06,87.833505,88.097005,85.946900,86.205517,31685564
2024-08-07,88.032775,88.296873,87.570004,87.833505,11050568
2024-08-08,86.908764,88.296873,86.648038,88.032775,25105520
2024-08-09,85.285968,87.169491,85.030111,86.908764,1325034
2024-08-12,88.061709,88.325895,85.030111,85.285968,25728312
2024-08-13,87.000754,88.325895,86.739751,88.061709,24345916
2024-08-14,85.639979,87.261756,85.383059,87.000754,23170714
2024-08-15,83.525503,85.896899,83.274927,85.639979,2241165
2024-08-16,87.176315,87.437844,83.274927,83.525503,29210573
2024-08-19,87.443634,87.705965,86.914786,87.176315,15964542
2024-08-20,88.713127,88.979266,87.181304,87.443634,49057415
2024-08-21,90.100446,90.370748,88.446987,88.713127,7953110
2024-08-22,90.516464,90.788013,89.830145,90.100446,31699333
2024-08-23,91.893583,92.169264,90.244914,90.516464,22768082
2024-08-26,92.116418,92.392767,91.617902,91.893583,1762300
2024-08-27,88.780284,92.392767,88.513943,92.116418,35916969
2024-08-28,89.714715,89.983859,88.513943,88.780284,26767691
2024-08-29,86.365061,89.983859,86.105966,89.714715,19990145
2024-08-30,85.112084,86.624157,84.856748,86.365061,32217956
2024-09-02,84.662101,85.367420,84.408114,85.112084,7965091
2024-09-03,85.320282,85.576243,84.408114,84.662101,22255498
2024-09-04,87.715675,87.978822,85.064321,85.320282,46431856
2024-09-05,87.116917,87.978822,86.855567,87.715675,4911587
2024-09-06,89.285062,89.552917,86.855567,87.116917,46225066
2024-09-09,91.705840,91.980957,89.017207,89.285062,36408664
2024-09-10,96.061651,96.349836,91.430722,91.705840,23769293
2024-09-11,91.497538,96.349836,91.223046,96.061651,25259035
2024-09-12,92.947389,93.226231,91.223046,91.497538,20877583
2024-09-13,91.470561,93.226231,91.196149,92.947389,31753740
2024-09-16,91.141948,91.744973,90.868522,91.470561,40181994
2024-09-17,90.575311,91.415373,90.303585,91.141948,12667741
2024-09-18,94.367217,94.650319,90.303585,90.575311,42749039
2024-09-19,91.003035,94.650319,90.730026,94.367217,16483155
2024-09-20,89.516267,91.276044,89.247718,91.003035,17021978
2024-09-23,87.083152,89.784816,86.821902,89.516267,17581553
2024-09-24,87.542363,87.804990,86.821902,87.083152,3628778
2024-09-25,88.631688,88.897583,87.279736,87.542363,26418978
2024-09-26,87.113975,88.897583,86.852633,88.631688,35742554
2024-09-27,86.101999,87.375317,85.843693,87.113975,18275967
2024-09-30,82.936881,86.360305,82.688070,86.101999,39812007
2024-10-01,85.270068,85.525878,82.688070,82.936881,36231966
2024-10-02,83.819361,85.525878,83.567903,85.270068,48292372
2024-10-03,80.982649,84.070820,80.739701,83.819361,27033711
2024-10-04,79.765224,81.225597,79.525928,80.982649,34273203
2024-10-07,80.551612,80.793267,79.525928,79.765224,41975934
2024-10-08,80.750299,80.992549,80.309957,80.551612,10256879
2024-10-09,84.192393,84.444970,80.508048,80.750299,15076302
2024-10-10,84.461376,84.714760,83.939816,84.192393,18851137
2024-10-11,85.516399,85.772948,84.207992,84.461376,48818676
2024-10-14,85.401304,85.772948,85.145100,85.516399,23559961
